When,Threat Name,Threat Path,Event,Cleanup Status,Severity,Alert,Root Cause,Business File,User,User Groups,Device,Device Group,IPAddress,Date,Hour,DayOfWeek,DayOfWeekNum,User Domain,Username
2025-07-09 21:24:47+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Navpreet.kaur110,Global User Group,Altermed-178,Global Computer Group,192.168.3.189,2025-07-09,21,Wednesday,2,ALTERMEDRCM,Navpreet.kaur110
2025-07-09 20:39:40+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Sundram.Sahu132,Global User Group,Altermed-167,Global Computer Group,192.168.3.106,2025-07-09,20,Wednesday,2,ALTERMEDRCM,Sundram.Sahu132
2025-07-09 20:39:40+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Sundram.Sahu132,Global User Group,Altermed-167,Global Computer Group,192.168.3.106,2025-07-09,20,Wednesday,2,ALTERMEDRCM,Sundram.Sahu132
2025-07-09 20:39:40+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Sundram.Sahu132,Global User Group,Altermed-167,Global Computer Group,192.168.3.106,2025-07-09,20,Wednesday,2,ALTERMEDRCM,Sundram.Sahu132
2025-07-09 18:34:33+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 18:34:17+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,18,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 17:42:05+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,17,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 17:42:05+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,17,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 16:42:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,16,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 16:42:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,16,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-09 16:42:01+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-09,16,Wednesday,2,ALTERMEDRCM,Karan.Indoria291
2025-07-08 22:29:29+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-08,22,Tuesday,1,ALTERMEDRCM,Karan.Indoria291
2025-07-08 22:29:29+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-08,22,Tuesday,1,ALTERMEDRCM,Karan.Indoria291
2025-07-08 22:29:29+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Karan.Indoria291,Global User Group,Altermed-105,Global Computer Group,192.168.4.47,2025-07-08,22,Tuesday,1,ALTERMEDRCM,Karan.Indoria291
2025-07-08 21:56:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Ramanpreet.kaur12,Global User Group,Altermed-152,Global Computer Group,192.168.6.103,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Ramanpreet.kaur12
2025-07-08 21:56:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Ramanpreet.kaur12,Global User Group,Altermed-152,Global Computer Group,192.168.6.103,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Ramanpreet.kaur12
2025-07-08 21:56:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Ramanpreet.kaur12,Global User Group,Altermed-152,Global Computer Group,192.168.6.103,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Ramanpreet.kaur12
2025-07-08 21:48:39+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Gaurav.X195,Global User Group,Altermed-182,Global Computer Group,192.168.4.124,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Gaurav.X195
2025-07-08 21:48:39+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Gaurav.X195,Global User Group,Altermed-182,Global Computer Group,192.168.4.124,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Gaurav.X195
2025-07-08 21:48:39+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Gaurav.X195,Global User Group,Altermed-182,Global Computer Group,192.168.4.124,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Gaurav.X195
2025-07-08 21:41:49+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:41:20+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:50+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:50+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:49+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:33+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:16+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:10+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:09+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:40:09+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:46+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:44+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:44+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:43+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:43+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:43+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:43+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:36+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:35+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:39:35+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:37:55+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:37:55+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:37:55+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Manish.Bhagat215,Global User Group,Altermed-55,Global Computer Group,192.168.4.137,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Manish.Bhagat215
2025-07-08 21:36:31+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Ritesh.Thakur220,Global User Group,Altermed-142,Global Computer Group,192.168.4.140,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Ritesh.Thakur220
2025-07-08 21:36:31+05:30,Lockdown,-,'Lockdown' exploit prevented in Windows Command Processor,-,Low,No,-,-,ALTERMEDRCM\Ritesh.Thakur220,Global User Group,Altermed-142,Global Computer Group,192.168.4.140,2025-07-08,21,Tuesday,1,ALTERMEDRCM,Ritesh.Thakur220
